40
4
0, 0.1729920731566409, 0.133749771063578
1, 0.5421681817926225, 0.6306918677574787
2, 0.12323694911612704, 0.04854360041131445
3, 0.21065294438192028, 0.6984804399207941
4, 0.6389281838454941, 0.7372104185682021
5, 0.2599884182458613, 0.3891586479092437
6, 0.4281332801486287, 0.7662542508263979
7, 0.7068594384552774, 0.6887406974262874
8, 0.7421478246081261, 0.7494819348968543
9, 0.2903447041840407, 0.08095448556969143
10, 0.2758933540488532, 0.8179050350197477
11, 0.04726142613198636, 0.7544573452588019
12, 0.9432033381327953, 0.16731111998934756
13, 0.617166786141797, 0.06182708234372425
14, 0.4282560748613099, 0.31085913815785937
15, 0.3413304133347965, 0.9745198489545355
16, 0.7898647645534455, 0.2594105241084007
17, 0.8967785081628945, 0.7117002486409747
18, 0.998147746813889, 0.801328703526299
19, 0.5514211203351034, 0.709196404053467
20, 0.12029134732280455, 0.1720090744283852
21, 0.32013720610276875, 0.1926791573793366
22, 0.7511507378560203, 0.3768035355210111
23, 0.34443685112227485, 0.612353065426589
24, 0.26539909669935724, 0.7629339424018524
25, 0.43950126238331844, 0.9961880485740006
26, 0.7301507264182826, 0.16949389262527093
27, 0.9779908157364254, 0.32841505942371974
28, 0.9188581664765646, 0.7268201441098087
29, 0.10685488412936506, 0.047458130723492475
30, 0.039258390372228, 0.8570128893416968
31, 0.3211299091149371, 0.6691236917516326
32, 0.15184954359109726, 0.6158004770542661
33, 0.7788047322150038, 0.3693343573115788
34, 0.36290984594797526, 0.7386617727206054
35, 0.84312771219169, 0.748249257045332
36, 0.21383910224313363, 0.24420784632974313
37, 0.9128573944160803, 0.9578289558769418
38, 0.4165620999853513, 0.0033652271295325775
39, 0.3981102448627256, 0.5584059511430354
end_nodes
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
1, 4
1, 6
1, 15
1, 19
1, 25
2, 3
2, 4
2, 7
2, 8
2, 9
3, 5
3, 6
3, 10
3, 11
4, 8
4, 18
4, 19
5, 6
5, 23
5, 31
5, 34
6, 10
6, 15
7, 8
7, 9
7, 12
7, 13
7, 14
8, 12
8, 17
8, 18
9, 13
9, 14
9, 21
9, 38
10, 11
10, 15
10, 24
10, 30
11, 20
11, 29
11, 30
11, 32
12, 13
12, 16
12, 17
12, 18
13, 16
13, 22
13, 26
14, 21
15, 25
15, 30
16, 22
16, 26
16, 33
17, 18
17, 28
17, 35
18, 25
18, 27
19, 25
20, 29
20, 32
22, 33
23, 34
25, 37
29, 38
31, 34
end
